Mois,Blockchain
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0.5
2011-04,0
2011-05,0
2011-06,0
2011-07,0.5
2011-08,0.5
2011-09,0
2011-10,0
2011-11,0.5
2011-12,0.5
2012-01,0.5
2012-02,0
2012-03,0.5
2012-04,0.5
2012-05,0.5
2012-06,0.5
2012-07,0.5
2012-08,0.5
2012-09,0.5
2012-10,0.5
2012-11,0.5
2012-12,0.5
2013-01,0.5
2013-02,0.5
2013-03,1
2013-04,2
2013-05,1
2013-06,1
2013-07,1
2013-08,1
2013-09,1
2013-10,1
2013-11,4
2013-12,4
2014-01,3
2014-02,4
2014-03,3
2014-04,2
2014-05,2
2014-06,2
2014-07,2
2014-08,3
2014-09,2
2014-10,3
2014-11,3
2014-12,3
2015-01,3
2015-02,3
2015-03,2
2015-04,3
2015-05,3
2015-06,3
2015-07,4
2015-08,4
2015-09,5
2015-10,6
2015-11,7
2015-12,7
2016-01,7
2016-02,8
2016-03,9
2016-04,10
2016-05,12
2016-06,13
2016-07,10
2016-08,12
2016-09,13
2016-10,16
2016-11,15
2016-12,14
2017-01,16
2017-02,19
2017-03,21
2017-04,20
2017-05,30
2017-06,34
2017-07,30
2017-08,35
2017-09,41
2017-10,49
2017-11,66
2017-12,100
2018-01,91
2018-02,66
2018-03,57
2018-04,51
2018-05,55
2018-06,47
2018-07,44
2018-08,43
2018-09,45
2018-10,46
2018-11,43
2018-12,33
2019-01,33
2019-02,35
2019-03,34
2019-04,38
2019-05,40
2019-06,37
2019-07,32
2019-08,29
2019-09,31
2019-10,30
2019-11,31
2019-12,25
2020-01,27
2020-02,28
2020-03,24
2020-04,27
2020-05,28
2020-06,26
2020-07,28
2020-08,29
2020-09,26
2020-10,24
2020-11,30
2020-12,29
2021-01,45
2021-02,60
2021-03,52
2021-04,52
2021-05,52
2021-06,40
2021-07,35
2021-08,36
2021-09,38
